# Permission definitions for applet internal-purchase-quotation-applet — extracted 2026-09-05 from akaun_master (product registry metadata; no tenant data).
# Client-side: bl_applet_client_side_perm_dfn joined on bl_applet_hdr.code (applet_guid).
perm_code|perm_name|perm_type|status
HIDE_PRICE|HIDE_PRICE|CLIENT_SIDE_PERM|ACTIVE
PURCHASE_QUOTATION_DISPLAY_PRICING|Purchase Quotation Display Pricing|CLIENT_SIDE_PERM|ACTIVE
SHOW_AMOUNT_NET_EXCL_TAX|SHOW_AMOUNT_NET_EXCL_TAX|CLIENT_SIDE_PERM|ACTIVE
SHOW_AMOUNT_STD_EXCL_TAX|SHOW_AMOUNT_STD_EXCL_TAX|CLIENT_SIDE_PERM|ACTIVE
SHOW_AMOUNT_TXN|SHOW_AMOUNT_TXN|CLIENT_SIDE_PERM|ACTIVE
SHOW_COSTING_DETAILS|SHOW_COSTING_DETAILS|CLIENT_SIDE_PERM|ACTIVE
SHOW_DISCOUNT_AMOUNT_EXCL_TAX|SHOW_DISCOUNT_AMOUNT_EXCL_TAX|CLIENT_SIDE_PERM|ACTIVE
SHOW_QTY_BASE|SHOW_QTY_BASE|CLIENT_SIDE_PERM|ACTIVE
SHOW_QTY_UOM|SHOW_QTY_UOM|CLIENT_SIDE_PERM|ACTIVE
SHOW_TAX_CONFIG_SELECTION|SHOW_TAX_CONFIG_SELECTION|CLIENT_SIDE_PERM|ACTIVE
SHOW_TRANSACTION_DATE|SHOW_TRANSACTION_DATE|CLIENT_SIDE_PERM|ACTIVE
SHOW_UNIT_DISCOUNT|SHOW_UNIT_DISCOUNT|CLIENT_SIDE_PERM|ACTIVE
SHOW_UNIT_DISCOUNT_UOM_EXCL_TAX|SHOW_UNIT_DISCOUNT_UOM_EXCL_TAX|CLIENT_SIDE_PERM|ACTIVE
SHOW_UNIT_PRICE_NET_EXCL_TAX|SHOW_UNIT_PRICE_NET_EXCL_TAX|CLIENT_SIDE_PERM|ACTIVE
SHOW_UNIT_PRICE_NET_UOM_EXCL_TAX|SHOW_UNIT_PRICE_NET_UOM_EXCL_TAX|CLIENT_SIDE_PERM|ACTIVE
SHOW_UNIT_PRICE_STD_EXCL_TAX|SHOW_UNIT_PRICE_STD_EXCL_TAX|CLIENT_SIDE_PERM|ACTIVE
SHOW_UNIT_PRICE_STD_INCL_TAX|SHOW_UNIT_PRICE_STD_INCL_TAX|CLIENT_SIDE_PERM|ACTIVE
SHOW_UNIT_PRICE_STD_PRICING_SCHEME|SHOW_UNIT_PRICE_STD_PRICING_SCHEME|CLIENT_SIDE_PERM|ACTIVE
SHOW_UNIT_PRICE_STD_UOM_EXCL_TAX|SHOW_UNIT_PRICE_STD_UOM_EXCL_TAX|CLIENT_SIDE_PERM|ACTIVE
SHOW_UNIT_PRICE_STD_UOM_INCL_TAX|SHOW_UNIT_PRICE_STD_UOM_INCL_TAX|CLIENT_SIDE_PERM|ACTIVE
SHOW_UNIT_PRICE_TXN|SHOW_UNIT_PRICE_TXN|CLIENT_SIDE_PERM|ACTIVE
SHOW_UNIT_PRICE_TXN_UOM_INCL_TAX|SHOW_UNIT_PRICE_TXN_UOM_INCL_TAX|CLIENT_SIDE_PERM|ACTIVE
SHOW_UOM_TO_BASE_RATIO|SHOW_UOM_TO_BASE_RATIO|CLIENT_SIDE_PERM|ACTIVE
SHOW_WHT_CONFIG_SELECTION|SHOW_WHT_CONFIG_SELECTION|CLIENT_SIDE_PERM|ACTIVE
