perm_code	perm_name	perm_type	status
ALLOW_TO_CREATE_EDIT_ACCOUNT	ALLOW_TO_CREATE_EDIT_ACCOUNT	CLIENT_SIDE_PERM	ACTIVE
INTERNAL_PURCHASE_REQUISITION_DISPLAY_PRICING	Internal Purchase Requisition Display Pricing	CLIENT_SIDE_PERM	ACTIVE
IPR_DISPLAY_TRACKING_ID_AND_PERMIT_NO	Internal Purchase Requisition Display Tracking ID and Permit No	CLIENT_SIDE_PERM	DELETED
IPR_HIDE_TRACKING_ID_AND_PERMIT_NO	IPR_HIDE_TRACKING_ID_AND_PERMIT_NO	CLIENT_SIDE_PERM	ACTIVE
SHOW_AMOUNT_NET_EXCL_TAX	SHOW_AMOUNT_NET_EXCL_TAX	CLIENT_SIDE_PERM	ACTIVE
SHOW_AMOUNT_STD_EXCL_TAX	SHOW_AMOUNT_STD_EXCL_TAX	CLIENT_SIDE_PERM	ACTIVE
SHOW_AMOUNT_TXN	SHOW_AMOUNT_TXN	CLIENT_SIDE_PERM	ACTIVE
SHOW_APPROVAL_HISTORY_MENU	SHOW_APPROVAL_HISTORY_MENU	CLIENT_SIDE_PERM	ACTIVE
SHOW_APPROVAL_REQUEST_MENU	SHOW_APPROVAL_REQUEST_MENU	CLIENT_SIDE_PERM	ACTIVE
SHOW_ARAP_BAL	SHOW_ARAP_BAL	CLIENT_SIDE_PERM	ACTIVE
SHOW_ARAP_CONTRA	SHOW_ARAP_CONTRA	CLIENT_SIDE_PERM	ACTIVE
SHOW_ARAP_DOC_OPEN	SHOW_ARAP_DOC_OPEN	CLIENT_SIDE_PERM	ACTIVE
SHOW_ARAP_PNS	SHOW_ARAP_PNS	CLIENT_SIDE_PERM	ACTIVE
SHOW_ARAP_SETTLEMENT	SHOW_ARAP_SETTLEMENT	CLIENT_SIDE_PERM	ACTIVE
SHOW_CLIENT_DOC_1	SHOW_CLIENT_DOC_1	CLIENT_SIDE_PERM	ACTIVE
SHOW_CLIENT_DOC_2	SHOW_CLIENT_DOC_2	CLIENT_SIDE_PERM	ACTIVE
SHOW_CLIENT_DOC_3	SHOW_CLIENT_DOC_3	CLIENT_SIDE_PERM	ACTIVE
SHOW_CLIENT_DOC_4	SHOW_CLIENT_DOC_4	CLIENT_SIDE_PERM	ACTIVE
SHOW_CLIENT_DOC_5	SHOW_CLIENT_DOC_5	CLIENT_SIDE_PERM	ACTIVE
SHOW_CLIENT_DOC_TYPE	SHOW_CLIENT_DOC_TYPE	CLIENT_SIDE_PERM	ACTIVE
SHOW_COSTING_DETAILS	SHOW_COSTING_DETAILS	CLIENT_SIDE_PERM	ACTIVE
SHOW_DESCRIPTION	SHOW_DESCRIPTION	CLIENT_SIDE_PERM	ACTIVE
SHOW_DISCOUNT_AMOUNT_EXCL_TAX	SHOW_DISCOUNT_AMOUNT_EXCL_TAX	CLIENT_SIDE_PERM	ACTIVE
SHOW_DOC_NO_BRANCH	SHOW_DOC_NO_BRANCH	CLIENT_SIDE_PERM	ACTIVE
SHOW_DOC_NO_COMPANY	SHOW_DOC_NO_COMPANY	CLIENT_SIDE_PERM	ACTIVE
SHOW_DOC_NO_TENANT	SHOW_DOC_NO_TENANT	CLIENT_SIDE_PERM	ACTIVE
SHOW_EXPORT_TAB	SHOW_EXPORT_TAB	CLIENT_SIDE_PERM	ACTIVE
SHOW_GENERIC_DOC_APPROVAL_TAB	SHOW_GENERIC_DOC_APPROVAL_TAB	CLIENT_SIDE_PERM	ACTIVE
SHOW_GL_DIMENSION	SHOW_GL_DIMENSION	CLIENT_SIDE_PERM	ACTIVE
SHOW_LAST_PURCHASE_PRICE	SHOW_LAST_PURCHASE_PRICE	CLIENT_SIDE_PERM	ACTIVE
SHOW_PRINT_BUTTON	SHOW_PRINT_BUTTON	CLIENT_SIDE_PERM	ACTIVE
SHOW_PROFIT_CENTER	SHOW_PROFIT_CENTER	CLIENT_SIDE_PERM	ACTIVE
SHOW_PROJECT	SHOW_PROJECT	CLIENT_SIDE_PERM	ACTIVE
SHOW_QTY_BASE	SHOW_QTY_BASE	CLIENT_SIDE_PERM	ACTIVE
SHOW_QTY_UOM	SHOW_QTY_UOM	CLIENT_SIDE_PERM	ACTIVE
